author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;underground
SC Realty;real_estate_agent;https://www.cian.ru/rent/flat/287875589/;Москва;rent;flat;4;17;5;150.0;1433;215000;0;Раменки;Пырьева;Ломоносовский проспект
SC Realty;real_estate_agent;https://www.cian.ru/rent/flat/288646186/;Москва;rent;flat;6;6;4;130.0;1692;220000;0;Тверской;переулок Лихов;Цветной бульвар
Алла Баранова;realtor;https://www.cian.ru/rent/flat/233867029/;Москва;rent;flat;17;35;4;165.0;1393;230000;0;Тропарево-Никулино;проспект Вернадского;Тропарёво
Корона;real_estate_agent;https://www.cian.ru/rent/flat/243764589/;Москва;rent;flat;16;25;4;156.0;1602;250000;0;Можайский;Можайское шоссе;Кунцевская
Наталья Тамахина;realtor;https://www.cian.ru/rent/flat/288875906/;Москва;rent;flat;4;22;4;137.0;1897;260000;0;Раменки;Ломоносовский проспект;Университет
Selenahome;real_estate_agent;https://www.cian.ru/rent/flat/282688071/;Москва;rent;flat;3;4;4;171.0;1543;264000;0;Мещанский;Последний переулок;Сухаревская
BOYKOV Company;real_estate_agent;https://www.cian.ru/rent/flat/288418444/;Москва;rent;flat;15;24;4;147.0;2040;300000;0;Очаково-Матвеевское;Староволынская;Давыдково
Landmark real estate;real_estate_agent;https://www.cian.ru/rent/flat/271170083/;Москва;rent;flat;4;5;4;180.0;1777;320000;0;Хамовники;Гагаринский переулок;Кропоткинская
Адрес;real_estate_agent;https://www.cian.ru/rent/flat/286278926/;Москва;rent;flat;3;7;5;330.0;1060;350000;0;Раменки;Минская;Минская
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/288324607/;Москва;rent;flat;3;9;5;250.0;1400;350000;0;Якиманка;1-й Спасоналивковский переулок;Октябрьская
Slava Realty;real_estate_agent;https://www.cian.ru/rent/flat/288283505/;Москва;rent;flat;10;12;4;178.0;2359;420000;0;Тверской;1-й Тверской-Ямской переулок;Маяковская
Аврора Проперти;real_estate_agent;https://www.cian.ru/rent/flat/284490531/;Москва;rent;flat;4;10;4;169.4;2656;450000;0;Тверской;Фадеева;Новослободская
Сергей Рейнфельд;realtor;https://www.cian.ru/rent/flat/259225767/;Москва;rent;flat;13;34;5;300.0;1566;470000;0;Щукино;Авиационная;Щукинская
Sellers Team;real_estate_agent;https://www.cian.ru/rent/flat/288008991/;Москва;rent;flat;2;6;5;283.0;6713;1900000;0;Хамовники;Остоженка;Кропоткинская
Moscow Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/283393839/;Москва;rent;flat;9;19;4;131.0;1297;170000;0;Ломоносовский;Гарибальди;Новые Черёмушки
Smolenka Estate;real_estate_agent;https://www.cian.ru/rent/flat/286634041/;Москва;rent;flat;3;6;4;250.0;3400;850000;0;Гагаринский;Косыгина;Ленинский проспект
ID 25159;realtor;https://www.cian.ru/rent/flat/288804720/;Москва;rent;flat;6;9;4;150.0;866;130000;0;Академический;Профсоюзная;Академическая
Ольга Сосновская;realtor;https://www.cian.ru/rent/flat/285074452/;Москва;rent;flat;3;6;4;161.0;6211;1000000;0;Замоскворечье;Садовническая набережная;Новокузнецкая
Веста Реал Эстейт;real_estate_agent;https://www.cian.ru/rent/flat/288925631/;Москва;rent;flat;5;8;4;230.0;2043;470000;0;Хамовники;1-й Зачатьевский переулок;Парк Культуры
ID 53054;realtor;https://www.cian.ru/rent/flat/288907006/;Москва;rent;flat;15;31;4;169.0;1331;225000;0;Тропарево-Никулино;проспект Вернадского;Тропарёво
ID 298192;homeowner;https://www.cian.ru/rent/flat/212359499/;Москва;rent;flat;4;18;5;155.0;1580;245000;0;Пресненский;Шмитовский проезд;Выставочная
ID 46558037;unknown;https://www.cian.ru/rent/flat/274845417/;Москва;rent;flat;14;57;5;180.0;1388;250000;0;Хорошевский;Чапаевский переулок;Сокол
ID 12383335;realtor;https://www.cian.ru/rent/flat/288629523/;Москва;rent;flat;6;25;4;134.0;3171;425000;0;Аэропорт;Ленинградский проспект;Петровский Парк
ID 21363639;unknown;https://www.cian.ru/rent/flat/266072040/;Москва;rent;flat;13;22;4;111.0;1711;190000;0;Можайский;Гжатская;Давыдково
ID 74442932;realtor;https://www.cian.ru/rent/flat/278146025/;Москва;rent;flat;10;16;4;94.4;2012;190000;50;Филевский парк;Большая Филевская;Фили
ID 9760624;realtor;https://www.cian.ru/rent/flat/158767525/;Москва;rent;flat;7;23;4;110.0;1272;140000;0;Сокол;Алабяна;Панфиловская
Burenok Realty;real_estate_agent;https://www.cian.ru/rent/flat/288849047/;Москва;rent;flat;9;32;4;155.0;1290;200000;35;Щукино;Авиационная;Щукинская
ID 84226172;realtor;https://www.cian.ru/rent/flat/284289803/;Москва;rent;flat;8;11;4;86.0;2558;220000;0;Басманный;Казакова;Курская
ID 93881075;realtor;https://www.cian.ru/rent/flat/288824290/;Москва;rent;flat;3;9;4;140.0;2142;300000;0;Тверской;3-я Тверская-Ямская;Белорусская
ID 104088169;homeowner;https://www.cian.ru/rent/flat/288599871/;Москва;rent;flat;14;17;4;130.0;769;100000;0;Преображенское;Малая Черкизовская;Преображенская площадь
ID 15338178;realtor;https://www.cian.ru/rent/flat/172205348/;Москва;rent;flat;2;22;4;101.0;1237;125000;0;Раменки;Мичуринский проспект;Раменки
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/288377707/;Москва;rent;flat;11;14;4;133.0;1428;190000;0;Преображенское;Краснобогатырская;Преображенская площадь
